id,checklistId,code,dueDate,completedOn
0e6c663c-152e-4bb2-9e23-9ebfd1bfce23,25f6c06a-bab0-478c-96dc-9524d0469506,I9,2025-11-20,
d2ded3a7-5a77-43ce-85ba-2d0a6cc614c8,25f6c06a-bab0-478c-96dc-9524d0469506,W4,2025-11-20,
8cee8170-a4be-4626-852b-84e2358bc57c,25f6c06a-bab0-478c-96dc-9524d0469506,DIRECT_DEPOSIT,2025-11-23,
f259da27-a5c4-4b5e-9e39-113df0cde8bf,25f6c06a-bab0-478c-96dc-9524d0469506,TRAINING,2025-12-04,
940f1a66-a659-45ee-ba91-2e8de71c1d25,25f6c06a-bab0-478c-96dc-9524d0469506,ORIENTATION,2025-11-20,
a9ae119f-c0c8-45a3-8fa9-c58fa77d6083,6565b27e-39d4-4ee3-bcb7-a748dcd6cdd1,I9,2025-11-20,
4a34dfa0-eb7b-4fca-b321-220064ae9ae9,6565b27e-39d4-4ee3-bcb7-a748dcd6cdd1,W4,2025-11-20,
eafec522-212d-44b7-a3f6-425064935bf1,6565b27e-39d4-4ee3-bcb7-a748dcd6cdd1,DIRECT_DEPOSIT,2025-11-23,
0465aa62-b9a8-4e9a-a3fe-e5bca5783241,6565b27e-39d4-4ee3-bcb7-a748dcd6cdd1,TRAINING,2025-12-04,
b6e5f206-c5e3-4977-a32e-382504ee656c,6565b27e-39d4-4ee3-bcb7-a748dcd6cdd1,ORIENTATION,2025-11-20,
e40a6866-def0-4ab5-b9f4-75740e5073c7,ec9b95a0-b4c2-4d1a-9279-bd721b7f51e2,I9,2025-11-15,
e859edaa-91c1-43b0-8a86-bc32fb1a836a,ec9b95a0-b4c2-4d1a-9279-bd721b7f51e2,W4,2025-11-15,
ac24a419-83a2-430c-aecd-753ab85d4e70,ec9b95a0-b4c2-4d1a-9279-bd721b7f51e2,DIRECT_DEPOSIT,2025-11-18,
0731276f-db63-4b45-bf9a-cff50eb4b507,ec9b95a0-b4c2-4d1a-9279-bd721b7f51e2,TRAINING,2025-11-29,
6b00aa4d-8cf2-4836-8473-46a2e966ee2a,ec9b95a0-b4c2-4d1a-9279-bd721b7f51e2,ORIENTATION,2025-11-15,
